frame,render_ns,present_ns,total_ns,total_ticks
0,127485226,2312527,129797753,478485522
1,127385098,2316285,129701383,478130056
2,127606434,2315177,129921611,478941856
3,127609496,2348078,129957574,479074448
4,127294540,2327640,129622180,477838002
5,127438395,2313063,129751458,478314612
6,127672922,2275439,129948361,479040546
7,127607865,2312260,129920125,478936376
8,127835337,2384353,130219690,480040688
9,127637936,2336365,129974301,479136088
10,127526986,2288880,129815866,478552040
11,127927760,2312237,130239997,480115548
12,127515321,2303689,129819010,478563626
13,127419933,2337630,129757563,478337116
14,127396839,2280715,129677554,478042146
15,127688405,2305137,129993542,479207328
16,127389812,4184445,131574257,485034194
17,127545021,560943,128105964,472248640
18,127147757,550629,127698386,470746176
19,127331140,541184,127872324,471387368
20,126889062,550879,127439941,469793430
21,127573055,548298,128121353,472305356
22,127449380,548178,127997558,471849042
23,127444631,592231,128036862,471993944
24,127246220,562834,127809054,471154132
25,126987334,551832,127539166,470159196
26,126832093,555557,127387650,469600748
27,127461353,566184,128027537,471959542
28,127575471,553114,128128585,472332018
29,127726101,543209,128269310,472850790
