frame,render_ns,present_ns,total_ns,total_ticks
0,6459930,738074,7198004,26536128
1,7134612,762943,7897555,29114168
2,6641599,774415,7416014,27338952
3,7212728,880200,8092928,29834158
4,10601500,917589,11519089,42464612
5,9448216,766857,10215073,37657248
6,6648641,802550,7451191,27468488
7,7164549,926703,8091252,29828234
8,6766165,807202,7573367,27919066
9,6269855,867472,7137327,26311662
10,6124660,939768,7064428,26042860
11,6837710,928023,7765733,28627992
12,7025695,820838,7846533,28925890
13,6614424,817547,7431971,27397604
14,7150016,794865,7944881,29288604
15,6698406,876879,7575285,27926100
16,6449844,993319,7443163,27439032
17,6768701,857163,7625864,28112544
18,6341505,922976,7264481,26780336
19,6128102,935992,7064094,26041532
20,7273388,960056,8233444,30352272
21,6825247,957553,7782800,28691224
22,6809372,1032657,7842029,28909534
23,7360084,886017,8246101,30398848
24,7001142,818930,7820072,28828582
25,10025270,880542,10905812,40203886
26,10596772,828195,11424967,42117408
27,6601643,1117089,7718732,28454744
28,7107253,825948,7933201,29245384
29,7081066,942046,8023112,29576824
30,6222576,847459,7070035,26063392
31,5912385,939073,6851458,25257780
32,6599066,834225,7433291,27402694
33,6814662,880605,7695267,28368300
34,6499939,893521,7393460,27255824
35,6969568,893431,7862999,28986728
36,6702205,794979,7497184,27638076
37,6412883,816168,7229051,26649816
38,7101174,1002745,8103919,29874664
39,7243522,901504,8145026,30026392
40,7851850,1028442,8880292,32736800
41,8265367,988984,9254351,34115564
42,7887731,909727,8797458,32431264
43,7465025,879612,8344637,30761988
44,7746827,933620,8680447,31999928
45,8087676,948673,9036349,33311934
46,8431142,959894,9391036,34619432
47,7871188,959339,8830527,32553138
48,7537904,858189,8396093,30951706
49,8124851,887342,9012193,33223020
50,7578374,979290,8557664,31547332
51,7757442,886821,8644263,31866552
52,8435263,926339,9361602,34510932
53,7876617,982133,8858750,32657236
54,7621227,891372,8512599,31381252
55,7733976,929889,8663865,31938812
56,8215010,913090,9128100,33650102
57,7813251,1025221,8838472,32582460
58,8159413,924682,9084095,33487928
59,7970462,997798,8968260,33060928
