frame,render_ns,present_ns,total_ns,total_ticks
0,231433049,2348126,233781175,861808702
1,231329535,2336213,233665748,861383118
2,231334523,2328387,233662910,861372626
3,231168843,2334896,233503739,860785866
4,231195053,2334591,233529644,860881428
5,230956549,2293778,233250327,859851712
6,230699397,2291614,232991011,858895780
7,231303013,2322589,233625602,861235092
8,231347515,2314922,233662437,861370926
9,225717597,2252604,227970201,840387080
10,223642636,2247828,225890464,832720404
11,231055924,2348825,233404749,860420940
12,230924991,2389429,233314420,860088000
13,230852494,2321852,233174346,859571568
14,231457094,2347744,233804838,861895820
15,230775217,2314866,233090083,859261006
16,231605017,5654082,237259099,874629566
17,233760819,635626,234396445,864076844
18,233213589,581100,233794689,861858410
19,232106829,662619,232769448,858078938
20,230911102,646744,231557846,853612534
21,231607385,671971,232279356,856272266
22,230698050,677917,231375967,852942024
23,231324651,685860,232010511,855281220
24,231174037,674206,231848243,854683010
25,230640966,658275,231299241,852659180
26,231633247,662823,232296070,856333888
27,231059889,647896,231707785,854165234
28,232997042,700679,233697721,861500912
29,232845888,672676,233518564,860840470
