frame,render_ns,present_ns,total_ns,total_ticks
0,112600263,2320642,114920905,423643958
1,112600212,2301626,114901838,423573162
2,112560809,2308618,114869427,423454008
3,112569747,2303965,114873712,423469404
4,112535840,2306462,114842302,423353706
5,112647081,2307323,114954404,423766864
6,112601313,2299863,114901176,423570676
7,112623504,2304107,114927611,423668054
8,112568876,2299858,114868734,423451034
9,112563002,2296092,114859094,423415516
10,112562832,2302316,114865148,423437816
11,112506232,2271272,114777504,423114730
12,112560723,2326468,114887191,423519078
13,112569103,2313811,114882914,423503304
14,112539227,2322861,114862088,423426532
15,112518699,2302828,114821527,423277024
16,112549425,4413586,116963011,431171372
17,112556895,548882,113105777,416952154
18,112497810,557034,113054844,416764318
19,112484929,553135,113038064,416702460
20,112485436,551339,113036775,416697702
21,112041200,543897,112585097,415032640
22,112632355,553007,113185362,417245456
23,112526195,555682,113081877,416863968
24,112541986,557425,113099411,416928602
25,112491452,566064,113057516,416774160
26,112514890,548774,113063664,416796830
27,112504108,555435,113059543,416781632
28,112486847,543172,113030019,416672800
29,112517876,544591,113062467,416792410
