frame,render_ns,present_ns,total_ns,total_ticks
0,10340420,2023878,12364298,45580731
1,11180637,4480082,15660719,57731676
2,10434159,2338625,12772784,47085634
3,10531413,2076910,12608323,46479352
4,10551915,2045627,12597542,46439705
5,10228033,2177577,12405610,45732192
6,9912833,2184602,12097435,44596142
7,10075356,2167514,12242870,45132288
8,10373640,1986311,12359951,45563904
9,10042920,2136294,12179214,44898612
10,10207822,2026440,12234262,45100508
11,10250429,2002882,12253311,45170766
12,10027678,1978063,12005741,44258096
13,9991414,1978016,11969430,44124212
14,10265943,2173440,12439383,45856622
15,9875491,2090795,11966286,44112520
16,10102480,3548389,13650869,50322628
17,10128741,689327,10818068,39879780
18,10165345,599054,10764399,39682126
19,10436422,694261,11130683,41032230
20,10846046,724672,11570718,42654364
21,10941206,533792,11474998,42301490
22,11038647,866131,11904778,43885787
23,11930189,701725,12631914,46566363
24,13112985,533514,13646499,50306496
25,11216801,1215587,12432388,45830775
26,10372681,944338,11317019,41719070
27,10488909,839545,11328454,41761230
28,10448549,1129447,11577996,42681160
29,10177126,1050399,11227525,41389192
