frame,ticks,ns
0,42776160,11579237
1,44523426,12077725
2,46928622,12730178
3,43075670,11684989
4,42434318,11511011
5,38862990,10542220
6,43284476,11741630
7,46426168,12593875
8,41613376,11288321
9,39145694,10618907
10,43767224,11872588
11,40392192,10957045
12,41589598,11281862
13,40230108,10913076
14,41931792,11374687
15,42067806,11411497
16,39586994,10738586
17,42204396,11448641
18,43058192,11680255
19,43905270,11910035
20,40129746,10885854
21,45002820,12207768
22,40793464,11065903
23,47499610,12885072
24,42912222,11640656
25,45211218,12264304
26,39025512,10586305
27,45301326,12288740
28,45222406,12267337
29,41782764,11334273
30,45462922,12332582
31,42263944,11464797
32,44906048,12181518
33,37718762,10231829
34,43555584,11815171
35,46679408,12662576
36,45307158,12290321
37,45749330,12410273
38,43190262,11716081
39,41253928,11190815
40,40671758,11032883
41,42168706,11438959
42,40782782,11063004
43,41939118,11376617
44,44495900,12070225
45,44160922,11979384
46,45231960,12269914
47,43012568,11667874
48,43907644,11910674
49,44114526,11966800
50,42962686,11654346
51,45848930,12437292
52,40803552,11068636
53,39369440,10679603
54,45880890,12445959
55,47428504,12865781
56,41692954,11309910
57,43645262,11839507
58,41696234,11310793
59,43736130,11864156
60,43411254,11776025
61,42695838,11581952
62,40959468,11110931
63,40906016,11096431
64,42053646,11407743
65,47010886,12752494
66,37201252,10091447
67,40890326,11092175
68,43183940,11714361
69,45224378,12267868
70,44853682,12167308
71,39691192,10766887
72,41870530,11358070
73,46276202,12553195
74,37876424,10274602
75,43483250,11795559
76,43442756,11784577
77,42749784,11596587
78,42075874,11413775
79,41633370,11293738
80,41085814,11145208
81,41962556,11383037
82,41828726,11346736
83,47052342,12763736
84,47881126,12988559
85,46221504,12538358
86,43886366,11904903
87,45836284,12433852
88,42337008,11484609
89,41579872,11279219
90,45758434,12412733
91,47120190,12782140
92,38834156,10534402
93,42794900,11608824
94,40177814,10898893
95,46916518,12726894
96,36841178,9993769
97,45676606,12390537
98,42907872,11639475
99,38613662,10474588
100,45519706,12347975
101,40983228,11117377
102,46759378,12684268
103,41248780,11189420
104,42567544,11547156
105,44996162,12205963
106,40588434,11010279
107,43107934,11693738
108,40324878,10938783
109,42050496,11406898
110,41120426,11154597
111,41183974,11171834
112,45684512,12392684
113,40119722,10883130
114,42495976,11527735
115,41037826,11132182
116,42357062,11490053
117,41093278,11147191
118,44012140,11939026
119,40903132,11095653
120,40164688,10895330
121,40890460,11092211
122,43961630,11925325
123,44042006,11947037
124,41043820,11133783
125,41926946,11373379
126,41185210,11172165
127,45381474,12310485
128,46685900,12664337
129,38334450,10398846
130,43815156,11885590
131,42709052,11585539
132,42240884,11458537
133,48997770,13291473
134,43173780,11711609
135,41559138,11273603
136,40224900,10911664
137,46898842,12722092
138,44331634,12025702
139,41105174,11150462
140,37768812,10245407
141,44063484,11952958
142,43096060,11690528
143,44079632,11957336
144,40579530,11007864
145,41350490,11217003
146,44436234,12054071
147,43606548,11828999
148,44500422,12071477
149,44771730,12145084
150,45937656,12461359
151,42447236,11514517
152,39482630,10710315
153,47453068,12872442
154,39871084,10815686
155,44256854,12005409
156,39135318,10616094
157,40668194,11031911
158,43739388,11865039
159,42569974,11547804
160,41786724,11335337
161,43437742,11783201
162,40055356,10865671
163,40888184,11091587
164,44661166,12115082
165,41845508,11351280
166,43007078,11666384
167,45531068,12351067
168,37425072,10152160
169,43772450,11874008
170,51518914,13975378
171,47723087,12945601
172,43292167,11743666
173,43523518,11806472
174,40105270,10879210
175,43086684,11687978
176,40869730,11086586
177,39916310,10827952
178,43815884,11885787
179,39141908,10617885
180,42134704,11429737
181,40374024,10952124
182,44160720,11979337
183,43346450,11758449
184,41796270,11337933
185,46516030,12618259
186,38658284,10486693
187,46219088,12537693
188,42826972,11617528
189,39474078,10707996
190,42698512,11582683
191,43400724,11773115
192,43701760,11854820
193,41657366,11300255
194,39582733,10737423
195,46429277,12594693
196,38007674,10310200
197,42418780,11506796
198,42613642,11559659
199,41938692,11376558
200,47014932,12753590
201,46305166,12561062
202,40562870,11003347
203,42985020,11660403
204,45271388,12280625
205,38948514,10565420
206,46983826,12745150
207,45515796,12346918
208,45658100,12385523
209,45193662,12259547
210,43661640,11843946
211,44018150,11940660
212,44446404,12056834
213,43215154,11722831
214,43816344,11885913
215,41803266,11339827
216,42004044,11394287
217,41632308,11293449
218,43883162,11904041
219,41723444,11318170
220,69058542,18733318
221,51325226,13922834
222,43995308,11934462
223,46147678,12518335
224,40290298,10929405
225,42417290,11506389
226,43085000,11687516
227,43728738,11862153
228,43216842,11723283
229,45264584,12278777
230,40308220,10934266
231,45769096,12415629
232,43294244,11744284
233,44139462,11973568
234,42728686,11590865
235,43377388,11766840
236,42417516,11506454
237,43101306,11691943
238,44577878,12092493
239,42243358,11459216
