frame,ticks,ns
0,178248778,48340107
1,178189788,48337184
2,178344610,48379173
3,178237072,48349994
4,178204360,48341134
5,178491918,48419135
6,178150038,48326390
7,178097878,48312244
8,178338508,48377517
9,178125684,48319796
10,177965102,48276227
11,178019236,48290921
12,177855728,48246551
13,177885466,48254620
14,177954730,48273412
15,177913356,48262189
16,177841518,48242699
17,177940474,48269542
18,178156650,48328196
19,177890872,48256090
20,177908256,48260814
21,177891768,48256343
22,178580484,48443158
23,177963502,48275786
24,177807918,48233585
25,177907162,48260508
26,177890982,48256117
27,177926764,48265824
28,177820498,48237000
29,177926576,48265777
30,177984642,48281527
31,177955338,48273577
32,177807664,48233517
33,177812280,48234781
34,177857332,48246992
35,178034168,48294962
36,177761292,48220938
37,177861872,48248222
38,177905052,48259934
39,178212686,48343388
40,177865124,48249106
41,177842404,48242942
42,177819514,48236730
43,177696114,48203254
44,177758168,48220101
45,177664388,48194662
46,177915010,48262636
47,177841884,48242799
48,177687034,48200796
49,177778978,48225744
50,177658304,48193011
51,177571666,48169499
52,177677540,48198216
53,177562114,48166910
54,177712346,48207661
55,177640044,48188048
56,177710806,48207240
57,177582806,48172521
58,177803292,48232342
59,177776016,48224944
60,178019908,48291092
61,177658538,48193065
62,177633946,48186404
63,177962050,48275395
64,177784362,48227192
65,177904724,48259848
66,177736496,48214222
67,178112800,48316295
68,178147622,48325741
69,183691418,49829459
70,179744096,48758539
71,178732230,48484323
72,178485884,48417495
73,178212272,48343274
74,178056762,48301092
75,178031982,48294367
76,178074456,48305900
77,178037996,48296001
78,178004034,48286786
79,177902164,48259153
80,178339190,48377706
81,177862232,48248320
82,177837562,48241637
83,177869578,48250323
84,177949488,48271991
85,177743192,48216029
86,177910006,48261290
87,178135156,48322365
88,178351868,48381144
89,178070930,48304942
90,177910238,48261353
91,178031476,48294231
92,177927492,48266023
93,177885162,48254552
94,177785116,48227401
95,177775148,48224696
96,178042446,48297204
97,177767574,48222643
98,177894406,48257049
99,177957926,48274277
100,177985184,48281640
101,178363924,48384424
102,178010422,48288518
103,177938428,48268989
104,177946268,48271127
105,178032222,48294429
106,177960398,48274951
107,177870676,48250613
108,178492578,48419312
109,178615574,48452674
110,178463962,48411548
111,178260516,48356362
112,179345568,48650707
113,178710880,48478532
114,178589948,48445726
115,178356102,48382290
116,178266084,48357867
117,178087066,48309320
118,178071690,48305140
119,178067628,48304035
120,177912778,48262030
121,177936042,48268341
122,178294830,48365669
123,178144466,48324889
124,178038688,48296195
125,178170690,48331996
126,178093866,48311166
127,178049714,48299187
128,177920786,48264204
129,178069316,48304497
130,178331878,48375731
131,177872756,48251170
132,179270548,48630130
133,178612810,48451929
134,178544716,48433453
135,178584590,48444274
136,178709060,48478037
137,178554398,48436081
138,178252318,48354137
139,178060550,48302117
140,178006320,48287406
141,177960422,48274957
142,178060738,48302166
143,178445058,48406423
144,177811298,48234505
145,177998654,48285324
146,178256910,48355393
147,177929398,48266536
148,177925220,48265406
149,177773086,48224149
150,177851452,48245405
151,177756046,48219515
152,177982988,48281077
153,177993534,48283950
154,177844296,48243450
155,177901122,48258868
156,177855818,48246576
157,177943826,48270451
158,177906476,48260332
159,177865970,48249334
160,177905346,48260016
161,178019368,48290944
162,178041020,48296829
163,178172140,48332390
164,177837752,48241665
165,178039012,48296274
166,178013452,48289341
167,177927472,48266016
168,177904240,48259715
169,178573196,48441181
170,178487748,48418004
171,180562570,48980836
172,178325092,48373879
173,178494400,48419809
174,178444780,48406357
175,178393940,48392567
176,178235648,48349609
177,178104628,48314073
178,178076304,48306402
179,177933740,48267718
180,177934088,48267809
181,177988902,48282675
182,178014024,48289497
183,177930256,48266773
184,178267852,48358362
185,178017276,48290389
186,177851068,48245292
187,177776046,48224950
188,177800990,48231718
189,177887116,48255081
190,177828586,48239193
191,177808290,48233697
192,178049076,48299007
193,177999666,48285605
194,178018374,48290674
195,177922004,48264545
196,177994340,48284156
197,177901460,48258959
198,177897334,48257842
199,177869916,48250404
200,178008020,48287870
201,178000042,48285704
202,178583996,48444101
203,178831518,48511241
204,178227162,48347312
205,178706472,48477334
206,178073710,48305684
207,177992156,48283563
208,177984708,48281553
209,178095176,48311507
210,178668406,48466781
211,178122310,48318867
212,179161168,48600690
213,178575074,48441691
214,182811096,49590789
215,179316802,48642892
216,178847568,48515609
217,178535218,48430878
218,178568712,48439964
219,178385364,48390230
220,178268706,48358586
221,178229390,48347916
222,178094780,48311399
223,178207950,48342098
224,179231526,48619777
225,179004638,48558222
226,178249576,48353399
227,180698860,49017816
228,178898640,48529476
229,178597782,48447862
230,178849412,48516112
231,179043086,48568659
232,179079804,48578618
233,178872082,48522258
234,178730166,48483765
235,178833798,48511874
236,178854156,48517408
237,178372064,48386630
238,178221770,48345853
239,177985064,48281649
