elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3604.0,68.48,5262.0,3686.0,79.0,0,0,1
1.0,5342.0,99.76,5355.0,3686.0,80.0,0,0,1
1.5,5340.0,99.76,5353.0,3686.0,79.0,0,0,1
2.0,5330.0,99.76,5343.0,3686.0,79.0,0,0,1
2.5,5336.0,99.76,5349.0,3686.0,80.0,0,0,1
3.0,5341.0,99.76,5354.0,3686.0,79.0,0,0,1
3.5,5340.0,99.76,5353.0,3686.0,79.0,0,0,1
4.0,5343.0,99.76,5356.0,3686.0,79.0,0,0,1
4.5,5346.0,99.76,5359.0,3686.0,79.0,0,0,1
5.0,5348.0,99.76,5361.0,3686.0,79.0,0,0,1
5.5,5324.0,99.76,5336.0,3686.0,79.0,0,0,1
6.0,5334.0,99.76,5347.0,3686.0,79.0,0,0,1
6.5,5341.0,99.76,5354.0,3686.0,79.0,0,0,1
7.0,5342.0,99.76,5355.0,3686.0,79.0,0,0,1
7.5,5335.0,99.76,5348.0,3686.0,79.0,0,0,1
8.0,5329.0,99.76,5342.0,3686.0,79.0,0,0,1
8.5,5335.0,99.76,5348.0,3686.0,79.0,0,0,1
9.0,5328.0,99.76,5341.0,3686.0,79.0,0,0,1
9.5,5341.0,99.76,5354.0,3686.0,79.0,0,0,1
10.0,5341.0,99.76,5354.0,3686.0,79.0,0,0,1
10.5,5329.0,99.76,5342.0,3686.0,79.0,0,0,1
11.0,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
11.5,5343.0,99.76,5356.0,3686.0,79.0,0,0,1
12.0,5336.0,99.76,5349.0,3686.0,80.0,0,0,1
12.5,5317.0,99.76,5330.0,3686.0,80.0,0,0,1
13.0,5323.0,99.76,5336.0,3686.0,79.0,0,0,1
13.5,5312.0,99.76,5325.0,3686.0,79.0,0,0,1
14.0,5315.0,99.51,5341.0,3686.0,78.0,0,0,1
