frame,ticks,ns
0,209149098,56709768
1,209254292,56763978
2,209137012,56732174
3,209061872,56711794
4,209066346,56712987
5,209287132,56772889
6,209064372,56712476
7,209080820,56716932
8,209048350,56708113
9,209057568,56710626
10,209455238,56818499
11,209096110,56721078
12,209023184,56701288
13,209044770,56707152
14,209024090,56701543
15,209019688,56700340
16,209114134,56725960
17,209136618,56732071
18,209265612,56767061
19,209110578,56724996
20,209092834,56720185
21,209106682,56723949
22,209084042,56717808
23,209053628,56709548
24,209051676,56709025
25,209125980,56729186
26,209133036,56731089
27,209396478,56802552
28,209055596,56710093
29,209029016,56702882
30,209034214,56704280
31,209012660,56698440
32,209033056,56703976
33,209054354,56709728
34,209135320,56731708
35,209082880,56717490
36,209236782,56759240
37,209048474,56708151
38,209060412,56711388
39,209064540,56712518
40,209105912,56723740
41,209038264,56705380
42,209071344,56714364
43,209078478,56716295
44,209048318,56708107
45,209456648,56818874
46,209092464,56720093
47,209105086,56723517
48,209111644,56725285
49,209047152,56707801
50,209070880,56714233
51,209183178,56744701
52,209135906,56731864
53,209142086,56733553
54,219708950,59600008
55,209414852,56807539
56,209177678,56743198
57,209070972,56714260
58,209044150,56706986
59,209052390,56709211
60,209062828,56712053
61,209114896,56726143
62,209659320,56873858
63,209166698,56740220
64,209073032,56714822
65,209045026,56707225
66,209088496,56719006
67,209130950,56730522
68,209281708,56771424
69,209068214,56713510
70,209696442,56883933
71,209845300,56924313
72,209062456,56711942
73,209055740,56710130
74,209049304,56708381
75,209054178,56709699
76,209218868,56754372
77,209397088,56802726
78,209182796,56744596
79,209552254,56844807
80,209633926,56866965
81,209083838,56717753
82,209051464,56708970
83,209054448,56709770
84,209063708,56712264
85,209013866,56698772
86,209091078,56719712
87,209120454,56727398
88,211145034,57276884
89,209356034,56791581
90,209083598,56717681
91,209042720,56706592
92,209071878,56714509
93,209093386,56720342
94,209072224,56714602
95,209032924,56703941
96,209057862,56710696
97,209518110,56835547
98,209563444,56847845
99,209052758,56709321
100,209119426,56727395
101,209147138,56734913
102,209035572,56704659
103,209062920,56711752
104,209124694,56728822
105,209073312,56714887
106,209104990,56723490
107,209292766,56774428
108,209053230,56709439
109,209018212,56699950
110,209035504,56704637
111,209088580,56719030
112,209056260,56710260
113,209099676,56722049
114,209038458,56705439
115,209552404,56844856
116,209097896,56721556
117,209064556,56712522
118,209046162,56707529
119,209059396,56711114
120,209092580,56720103
121,209122634,56728276
122,209099540,56722001
123,209485938,56826818
124,209412844,56806991
125,209095140,56720818
126,209093316,56720323
127,209358010,56792116
128,209087584,56718769
129,209032464,56703817
130,209045214,56707264
131,209026380,56702156
132,209036068,56704795
133,209613850,56861528
134,209110092,56724864
135,209034882,56704463
136,209056772,56710410
137,209074862,56715317
138,209150678,56735878
139,209061012,56711562
140,209048814,56708252
141,209031408,56703521
142,209179838,56743784
143,209110506,56724987
144,209214714,56753255
145,209204042,56750348
146,209558810,56846588
147,209070964,56714260
148,209068920,56713703
149,209063804,56712310
150,209071912,56714508
151,209431374,56812027
152,209179700,56743757
153,209100774,56722336
154,209063936,56712342
155,209043150,56706715
156,209125572,56729074
157,209083366,56717614
158,209124176,56728695
159,209225886,56756283
160,209224842,56756002
161,209148246,56735215
162,209043572,56706830
163,209111058,56725137
164,209046220,56707538
165,209035956,56704755
166,209043850,56706905
167,209080910,56716954
168,209397322,56802782
169,209216462,56753717
170,209478300,56824758
171,209300652,56776567
172,209190634,56746712
173,209117538,56726885
174,209129878,56730243
175,209117382,56726851
176,209108730,56724495
177,209474640,56823756
178,209360008,56792669
179,209083146,56717565
180,209037348,56705132
181,209058042,56710746
182,209013820,56698760
183,209127884,56729686
184,209074502,56715211
185,209058246,56710810
186,209592010,56855603
187,209122258,56728175
188,209145026,56734341
189,209047872,56707996
190,209186826,56745691
191,209091494,56719818
192,209080446,56716824
193,209149964,56735690
194,209081974,56717239
195,209324348,56782984
196,209123590,56728528
197,209180278,56743913
198,209067510,56713323
199,209132890,56731048
200,209095184,56720815
201,209106518,56723905
202,209242676,56760839
203,209240448,56760227
204,209623354,56864094
205,209087846,56718837
206,209073756,56715016
207,209135398,56731655
208,209151498,56736097
209,209285736,56772522
210,209090482,56719555
211,209084220,56717847
212,209233980,56758481
213,209100556,56722287
214,209043010,56706678
215,209021120,56700729
216,209088622,56719040
217,209047714,56707956
218,209050810,56708783
219,209073538,56714959
220,209014584,56698967
221,209477476,56824531
222,209077142,56715928
223,209086070,56718335
224,209441232,56814702
225,209188002,56746009
226,209282618,56771643
227,209175980,56742736
228,209397300,56802784
229,209365260,56794070
230,209317036,56781002
231,209379326,56797899
232,209618716,56862837
233,209931848,56947790
234,209740650,56895925
235,209172774,56741878
236,209286248,56772652
237,209495026,56829288
238,209385620,56799587
239,209903020,56939971
