frame,ticks,ns
0,371833798,100851155
1,373135376,101219707
2,373234796,101246675
3,373343842,101276261
4,372912734,101159312
5,372835414,101138328
6,373408274,101293734
7,373522972,101324857
8,374063030,101471357
9,373871172,101419306
10,373612242,101349063
11,373149284,101223477
12,372872354,101148358
13,373027270,101190381
14,373451116,101305366
15,373320472,101269917
16,374010668,101457146
17,373243542,101249056
18,373206652,101239041
19,373085892,101206284
20,372216138,100970356
21,372243356,100977731
22,372275036,100986320
23,374255106,101523463
24,374200328,101508594
25,373559570,101334776
26,373905530,101428624
27,373699916,101372847
28,373084710,101205961
29,373265882,101255116
30,373050884,101196787
31,372714694,101105588
32,372585674,101070590
33,372632544,101083304
34,372408578,101022547
35,372538192,101057718
36,372461350,101036860
37,373656178,101360993
38,373600180,101345793
39,372989882,101180236
40,371849506,100870892
41,370628684,100539731
42,370745108,100571298
43,370673240,100551816
44,370921160,100619059
45,370400550,100477844
46,370065600,100386975
47,369108244,100127274
48,368705690,100018071
49,369748060,100300846
50,371404152,100750076
51,370143350,100408073
52,369993304,100367361
53,367826612,99779605
54,361122108,97960886
55,366253488,99352867
56,370762802,100576100
57,371007902,100642589
58,370843540,100598004
59,370066112,100387113
60,373380108,101286105
61,373413904,101295260
62,373555008,101333537
63,373991618,101451987
64,373187674,101233891
65,373202470,101237908
66,373497528,101317952
67,374012298,101457587
68,373429182,101299405
69,373455090,101306445
70,373880314,101421793
71,374039842,101465066
72,374793586,101669524
73,374458386,101578602
74,374389484,101559905
75,374030184,101462438
76,374050348,101467909
77,374351888,101549707
78,373194002,101235610
79,379379000,102913385
80,375614988,101892346
81,375082202,101747798
82,375218554,101784795
83,374998126,101725011
84,374963236,101715545
85,375078208,101746715
86,377034430,102277376
87,376405210,102106708
88,384170128,104213063
89,396857024,107654625
90,390938856,106049220
91,394454732,107002942
92,403806090,109539695
93,388094882,105277748
94,384392054,104273283
95,382348284,103718882
96,376370080,102097172
97,376793110,102211917
98,376833408,102222865
99,378154778,102581308
100,374850522,101684971
101,374726370,101651291
102,374122198,101487409
103,382934116,103877773
104,380237098,103146188
105,380713854,103275488
106,379403414,102920024
107,378654140,102716781
108,378750218,102742834
109,380389896,103187626
110,381779586,103564573
111,380908602,103328319
112,380419736,103195727
113,379265998,102882738
114,380034386,103091193
115,380647872,103257591
116,380146868,103121685
117,380703260,103272617
118,384635450,104339287
119,381347194,103447272
120,381406272,103463308
121,379745340,103012775
122,379158416,102853565
123,379649966,102986907
124,379903622,103055718
125,380216876,103140675
126,378822718,102762498
127,379099620,102837616
128,378407512,102649837
129,387911786,105228085
130,379773114,103020309
131,379475338,102939544
132,379276502,102885584
133,378880670,102778206
134,379236898,102874862
135,380212144,103139391
136,379621078,102979049
137,377927550,102519669
138,377023178,102274341
139,376324494,102084811
140,377935032,102521672
141,380824804,103305602
142,377688788,102454902
143,378836356,102766187
144,378106166,102568091
145,378064342,102556758
146,378217922,102598403
147,380575094,103237866
148,379054824,102825463
149,377907984,102514343
150,375429846,101842132
151,374732364,101652883
152,375313018,101810430
153,378302020,102621252
154,379180892,102859644
155,378775216,102749617
156,379038172,102820943
157,378097190,102565685
158,377307482,102351465
159,377162684,102312187
160,377474502,102396772
161,378023340,102545653
162,377976502,102532951
163,376975342,102261366
164,378622102,102708079
165,377845638,102497451
166,377844862,102497214
167,378724362,102735809
168,381352496,103448748
169,379133636,102846832
170,378270910,102612818
171,378224114,102600117
172,377769148,102476710
173,377741172,102469112
174,378882526,102778724
175,377564374,102421153
176,378194612,102592113
177,378056572,102554670
178,377296318,102348436
179,377297664,102348803
180,378168842,102585133
181,377721694,102463826
182,377006054,102269698
183,376624940,102166324
184,380136810,103118977
185,379099106,102837483
186,378615598,102706321
187,377418144,102381494
188,378086458,102562782
189,376860046,102230090
190,377093420,102293406
191,376766218,102204636
192,377424124,102383104
193,377340700,102360485
194,377210232,102325083
195,376653640,102174098
196,368985466,100093966
197,367858966,99788381
198,367700168,99745307
199,366129068,99319116
200,366734630,99483373
201,366860890,99517638
202,365401838,99121843
203,363570166,98624966
204,363758420,98676041
205,363845658,98699697
206,363854840,98702193
207,364243186,98807536
208,365459428,99137465
209,365001842,99013337
210,364618122,98909243
211,365230772,99075439
212,364866640,98976636
213,388124180,105285690
214,368303122,99908864
215,367692044,99743099
216,366439222,99403251
217,365996768,99283239
218,365188628,99064015
219,365733698,99211867
220,364423104,98856352
221,363842428,98698827
222,363990230,98738920
223,364700570,98931613
224,364937910,98995991
225,363957124,98729938
226,364007354,98743568
227,363687448,98656778
228,363624030,98639574
229,363626810,98640334
230,362927106,98450526
231,362691512,98386618
232,362485940,98330864
233,365188106,99063864
234,374937146,101708470
235,381643800,103527766
236,366263600,99355613
237,366575726,99440259
238,365479502,99142831
239,367067190,99573487
